review_content,sentiment
"a very good quality product..except for its packaging.. given the amount you charge for your product, I request you to use glass jar instead of plastic jar for packaging..",Positive
Adds life to dull walls! \n😍😍,Positive
happy with the product,Positive
ekdam ramro cha cheap and working very well thank you techkey technology pvt.ltd,Positive
Good product at good price 👍👍,Positive
Did not find effective,Neutral
best best best...,Positive
Good product in a cheap price.,Positive
Good packaging. Sent item as shown. Thanks for integrity of seller.,Positive
dami xa aaile samma 1 months vayo use garako,Positive
Do you guys always sell used products ??? \nHave some respect for customer .,Negative
Good product… at affordable price,Positive
arko colour ko vane ko aru po parexa aabaexchabge hunxa ki nai,Neutral
best product and very useful for my baby,Positive
I have odered the cover of the picture but i havent got the same product but the quality is nice and flexible,Positive
good product,Positive
fill perfectly nice products,Positive
0 star dude what was that a small pack of bb which cost around 10Rs and you market with that picture and that price it's misleading and I have no clue why daraz keeps your kind of  suppliers who are just a scammer I had plan to give that to my nephew and this is what I get,Negative
Expensive,Negative
"Average quality, still it's good considering the price !",Positive
"good product , i liked it",Positive
disgusting products\n,Negative
"Gemei Order gareko Geemy aayo, yo fraud vayana Ra?",Negative
Highly recommended & got in time. Very nice product. Thank you for good product in reasonable price .,Positive
Good,Positive
cheap and nice,Positive
I am so happy because the product is so beautifu,Positive
everything perfect,Positive
I need full set of chain mount bracket mobile holder and nute bt t have received only chain mount,Negative
Delivery wrong item  I don’t like it  don’t buy guys they are cheating  us,Negative
Arrived yesterday. Medium type quality.,Positive
All good. Product as of price range. Booting time for os is slow else everything is good as for now.,Positive
Good in quality and warm for your pet in winter.. worth buying it. I'm loving it so do my dog🐕🧣💞,Positive
dherai ramro product soche bhanda ramro chha.\ndhukka bhaera kinna saknuhunchha.,Positive
I've been using it for months and I like it!,Positive
as expected..\n\n,Positive
👌👌👌👌👌,Positive
💔😠😠🤬🤬🤬🤬🤬,Negative
has a strong smell \nbut is nice,Positive
I ordered a  sank  magic book for my son  and I got the same which I order . Thank you daraz,Positive
As described and illustrated. Size is as expected screws were little loose or else great product 👌,Positive
excellent product \nfeels good plus matches my setup too,Positive
👍🏻👍🏻,Positive
🤌🏻🫶🏻,Positive
good quality as price,Positive
I ordered a  sank  magic book for my son  and I got the same which I order . Thank you daraz,Positive
I've been using this BB cream for year now. The texture is perfect for my skin. Thank you,Positive
As good as before. I like the purity of it.,Positive
A little big but will do,Positive
"In the add, it is a pack of 125 multi color pack but the pack I received is a pack of not more than ten cups (I didn't open to count) with same colour/design. Does Daraz has a reasonable answer for it ?/👎",Negative
"I had ordered blue with star print but the seller sent me cheaper one, pink without any design. Totally disappointed 😞😞",Negative
good product,Positive
best product \nthank you for your product and service,Positive
I loved the product….,Positive
"best product in daraz , warm color is Awesome love it ❤❤❤",Positive
Genuine product with nice packaging. Have been using chikool diapers for my child since long time. Seller was so humble to call himself for missed invoice. Really appreciated.,Positive
according to price light and perfect,Positive
👍,Positive
delecious go for it no complains,Positive
better than i expected,Positive
dami xa product... savai vanda interactive seller hunuhunxa .:) dami xa quality pani ... chat pani active hunuhunxa,Positive
"Got my second order, it’s great. So far all the products I got from Sara foods are great. Thanks Daraz and Sara Foods.",Positive
40 size ko maga ko 44 ko po aayo 😡😡😡,Negative
i love it small bt cute \nthank u 😊,Positive
fully scam,Negative
Bill ma 542 rate lekheko cha but daraz ma 596 liyo. Daraz took me more price.,Negative
"Best cover there is for Poco F1! Thank you. Ani esko black, red ani aru colour pani milchha bhane lyaunu na pleeeeeeeeeease 🥺",Positive
fast delivary,Positive
Box was a bit damaged but the product inside it was in good condition.😊😊,Positive
I like it but I ordered on black but they sent me on gray🥺,Positive
good product but thin in size.. delivered after 4 days of order...too slow,Neutral
Excellent product at reasonable price. I loved GOLDSTAR,Positive
Bad product\nGot copy version\n,Negative
I liked it. feel neat and easy to work with,Positive
Excellent rack. Fits my three sets of dumbbells perfectly. Easy to assemble with correct tools (not included). Actually a 5 x 2 capacity rack is best for three larger sets of dumbbells,Positive
\nokay usable product for the cost...\nlekheko herna chai light chainchaa but can be seen\nEspecially liked the delivery this time.... fast to the place that was asked to be delivered too...,Positive
Damage products send by the Seller.,Negative
Different product received. Have to return back!\n\nAbove knee length was mentioned in the specification but below the knee length is delivered.,Negative
"Built quality is awesome' metel and plastic combination,unique look, easy to assemble,genuine product...fully satisify with this price range.highly recomanded to other...☺️",Positive
according to price light and perfect,Positive
𝐚𝐥𝐥 𝐠𝐨𝐨𝐝,Positive
"I’ve been using it for 4 days now and it has been working amazingly for my skin. No breakouts till now. My skin feels so soft, clear and hydrated.",Positive
damn good..😊,Positive
Average quality  works well,Positive
Ekdem man paryo quality ane ramro 6 thank u so much,Positive
I have not got my refund. It is almost 3 months.When will I get my refund?,Negative
i have recommended black but this is good looking by saying others 😆 thank you,Positive
"ekdam ramro xa. tara ali large size ma vaye perfect hunthyo gixxer ko lagi. but still, it fits fine.",Positive
Good product… at affordable price,Positive
Good product and nicely delivered.,Positive
Good for winter,Positive
Completely satisfied.,Positive
Although it is 15 watt it is very fast charging wirelessly for my mobile and earbud ..  Good to buy this wireless  charger with 11.11 offer..,Positive
"expectations vs reality \n,\ncolour nei udeko xa,\nfusro fusro xa , vhuwa lageko rang  udeko,\nwaste of money",Negative
I want to return because I don't receive the same good which I have ordered.,Negative
good built quality..,Positive
I just love it ❤️,Positive
2nd purchase i love it ❤️,Positive
Good product in a cheap price.,Positive
Finally in the house ..\nFeeling Great to have it ..\nGood quality posters ..\nMore than worth the price ❣️❣️❣️❣️😘🥰,Positive
👍🏻,Positive
good quality really appreciate,Positive
I ordered this shampoo and got another one,Negative
I love it so socheko vanda ni dami lagyo malai tw ♥️♥️,Positive
"😍 Amazing product, it's kinda tricky for getting used to finger print control but overall a good product.",Positive
Cute as the name says. Product chanhi soche vanda ramro aayo. Thanks ANX.,Positive
good,Positive
Brought the product to take with me for a trip to India.,Positive
black vaneko kaa Green pathako twni tait,Negative
i ordered crystal tortoise but got very small pyramid after waiting for 7 days. if you don't have stock then  don't delivery another item. shame on you.\n\n,Negative
Budget Anusar Mic Chahi Best Xa Hai ......\nsound Quality Best Lagyo,Positive
built quality very good premium feel ani plug haru yesto majale basxa halaye ni tightly basxa manparyo. thank you..,Positive
absolutely amazing loved itt,Positive
i love this product,Positive
ak dam ramro xa but battery theya na,Positive
Excellent product! Glad I got it.,Positive
Got same brushes and in small size very very disappointed,Negative
i was order 3600 watt but i got 3000 watt,Negative
best products only 690 for 1 kg,Positive
Different product,Negative
I got little worn out may be due to transportation as both swan was packed in same bubble wrap and the carving around eye area is not that prominent.,Negative
good,Positive
"cheap yet best, good for home practice",Positive
amazing products according to price 👍👍👍,Positive
good quality and Worth the money ..,Positive
bag ramro lagyo 👌 pic ma dekhako jastai xa,Positive
I loved it 👍,Positive
according to price light and perfect,Positive
Actually this is not manage eyelashes this policy is so fake super bad. I don’t like this🤨,Negative
as good as I thought,Positive
I got with red colour cover but in the picture there is white colour shown...\nfake ta haina ni.....,Negative
Good & thank you for sending me the colour I wanted,Positive
as expected....love it,Positive
Good quality,Positive
Fake Samsung memory card. Please don't buy.,Negative
I’ve bought many very unreliable and worthless products from Daraz and this tops the chart pretty easily. Stops working from the first day and doesn’t last more than 2 and breaks on absolute terms! HIGHLY NOT RECOMMENDED!!!! \n\n*I understand that it’s a cheap product but still cheap products also can have a great value.,Negative
Decent for the quality.3 out of 5 are missing the second glasses holder. Bought it for a present and now I’m unable to give it. :( Came with a freebie.,Positive
"it arrived in very good condition. Using it is also very easy but I have to be careful abd gentle because it looks like it will break if I applied just a little pressure. Didn't expected much in this price though. If you are limited with our budget then go for it. if you can afford a little more costly, you will find a lot better one.",Positive
Good job!,Positive
Impressed,Positive
Good for price,Positive
beat i liked it so much love it,Positive
10/10. loved the packaging and quality of products. ✔🍀🌟🌙,Positive
good one.,Positive
Definitely loved the chocolate ❤️,Positive
Good quality. Works well. Base seems durable. Stainless steel quality is excellent.,Positive
dharai ramrow chha bro \nthank you very much,Positive
"Everything is ok, you can buy it. But the seller has written 1.64gm but on package 1.2g. thats why only 3 ⭐️",Positive
fantastic,Positive
i said to send different colours but ..2/3 are different...others remaining are same 🤨..exception vs reality naai vayo 😎from now onwards i won't order from online .. anyway lipstick quality are good..thanks for quality 🙏😍,Negative
i got this watch with safe and fully covered with seal pack and with safe delivery \nthnk u daraz,Positive
I got my package didn't expect to be this good. I love it🙆,Positive
Haat sano xa vane perfect 👍.Go for it u won't regret.,Positive
Colour is amazing and brush is soft,Positive
Bhitra ko seal broken thyo,Negative
"good for hair strength,not so lather,overall good combination of onion oil n black seed,recomend to use this shampoo rather than other regular market shampoo",Positive
ek dam damii xah jasto vniko thiya tesatai aako xah,Positive
950 ko product deliver Huda 1065 xa delivery price 115 rs ho?,Negative
💜,Positive
aru ta thikai lagyo tyo spring chai mobile lagaune bitikai niskiyo 🌚,Negative
delivery in time better services .thank u daraz,Positive
"feels cozy, good for winter even you are far away from your jacket this will help you to give you little warm bcoz material inside is kept good in this shirt.\nalthough it's little bit expensive compared but worth it. thanks Daraz and NP Total for delivery.",Positive
"Boils water fastt, but just be sure the whole rod is inside the water or else it’ll melt the rubber! Mistake which i did!",Neutral
got as i want got safely,Positive
good product same as picture i received and fast delivery . Happy to shopping with Daraz.\nNepal's biggest Online shopping😊,Positive
dupe vayeni ramro xa,Positive
doesn't work at all. don't buy this piece of junk.,Negative
ek dam damii xah jasto vniko thiya tesatai aako xah,Positive
"Definitely punches above its price tag! First of all, the plastic used in the case is just ok, i can hear creaking noise when holding it. The earbuds however, gives a premium feel and are light weight, comes with winged tips so they fit very snuggly onto the ears. They can be used for hours without feeling uncomfortable to your ears. On to the sound quality bass is adequate (not overpowering like those chinese copy tws's in the market), the sound stage is fairly wide, you can hear a fair amount of instrument separation.You'll enjoy all type of music with these! i'd say unbelievable for the price.\nIt has a few downsides though, there's no way to know the remaining battery of the case, cant change the gesture controls( no skipping to the previous track, no volume controls), no offear sensor and autopause!\noverall, an amazing product for the price i got it for( nrs 2600)! just go for it.",Positive
2nd time I bought this. Good 😊 product 🎁 .\n\nIt’s nice to buy for 1 year purpose only . After a year battery 🪫 decrease very fast.,Neutral
Good quality...,Positive
"First Research Then Buy,\nSo Don't Trust Anyone\nJust Trust Yourself 🙃🤗",Negative
front is blue back is black 🖤💙 nice products sir i love it thank you sooo much 😄😄😄,Positive
"Good and cheap product, but best shoes for me. Thankn you Daraj.....",Positive
i loved it 🥰,Positive
\nnice and true to photo ....so cute,Positive
futeko parethyo+black magako wooden color aayo.dont buy from here,Negative
Delivery was very efficient,Positive
earphone baliyo xaina. futne ra chhtney bhaihaalxa,Negative
Fantastic 👍,Positive
Cute but small in size over all liked it,Positive
Good quality ❤ and reasonable price,Positive
"I always use Dhara Oil & im happy to buy Dhara Oil from Daraz because it gives many discount so, i suggest all of u to buy only dhara oil.",Positive
Bedsheet is same as in photo & beautiful too.,Positive
Derai Ramro,Positive
good product but thin in size.. delivered after 4 days of order...too slow,Neutral
derai tight xa phone halna garo xa but thikxa kam chalau sasto wala,Negative
good product but thin in size.. delivered after 4 days of order...too slow,Neutral
Fast delivery.\nAnd good product product.,Positive
Got 20 dis,Neutral
bigger and sturdier than expected,Negative
good products,Positive
cool,Positive
cute ATM card,Positive
"An okay... pasal ma leko Vaya ramrai quality authyo... Purano thotro stock vidayara swastha sanga khelbad garne online Lai kada karbahi garnai parxa, hamile ya Yo Daraaz ko consumer group le. vayana yasto",Negative
good product  and seller service is appreciated 👍,Positive
I got the duplicate product.. while I use I for live ..it is automatically got switch off even charged plugged in. And the logo on the pic and product I got is mismatching.,Negative
❤️❤️,Positive
Got the set in a great condition and it looks great and Thank you for the freebies.Would buy more in the future...Perfect,Positive
I got one worst n rest two good. What do I do about it? I wasted my money on single coco though?,Negative
Glasses price aanushar dherai ramro xa \n150 bhanda ni Kam xa price I just loved it 😘\nAni packaging k kura garnu parda ekdam ramro \nAni product pni ramro xa ❣️\n\nproblem kxa vaney ni chasma Dami xa 😊😁,Positive
best as per price,Positive
All good. Product as of price range. Booting time for os is slow else everything is good as for now.,Positive
delivery is good but has phot 2 pic give 1,Positive
cards are very thin and low quality,Negative
decent watch,Positive
happy 🙂,Positive
color chai same aayena but loved it,Positive
hope for the best ..,Positive
connector in not Bluetooth alivable. or keyboard button lagaing c button also.,Negative
extraordinary service,Positive
Good,Positive
Concerned that the lock flaps won't stand up to repeated opening and closing.,Negative
Did not find effective,Neutral
good product,Positive
I like the board. It is really nice.\nThank you masalabeads I am happy with this purchase,Positive
best,Positive
good quality worth it,Positive
👌,Positive
Aakdam ramro xa 🫣,Positive
go for it It's good \ni am learning it 😊 it has become my new hobby,Positive
good,Positive
Guitar ko electric system chaldaina raixa.Don’t trust this store,Negative
good product at this price,Positive
"Great, exactly same as shown and written. Expected Quality and mfg. Date. All the products are 100 % pure and true. Most trusted food company/store/seller: Himalaya great food. Thank you Daraz and Himalaya great food.",Positive
"Good one, recommended 👍",Positive
Best product on a price basis\nWire ko Length satisfy nai cha\nSuggest to buy😀,Positive
feels like I have applied lemon drops on my face....thank you,Positive
I ordered this item for i phone 6 plus . But this item is not working on i phone but working on android phone . Totally disappointed,Negative
Did not find effective,Neutral
Genuine product.,Positive
dami cha. ramro lagyo,Positive
As per price it’s very good you can try u will not regret thank you daraz,Positive
Excellent one,Positive
dami,Positive
ekdam ramro xa . worth it 👍👍👍,Positive
It does not connect to android.\nThe product seems used and has some scratches,Negative
i love itt :),Positive
"I was a happy customer at Daraz before I purchased this product because they didn't bother to check the package before sending it to me and after waiting for so long I was handed the product where the microphone is not working properly and again I have to wait a lot more days in return process... It had already been a week now but I still have not received the refund.... I hope they are working on it but this delay also have some impact to the buyers because this was purchased for a gift and you ruined it completely, how would you compensate this ????\n\n        I hope you won't disappoint me this time because I am again making the purchase of 2 of the same products if you failed this time then this would be my last order.",Negative
color is different but not so bad next time plz send as same as we choose,Neutral
Genuine Product at a reasonable price.,Positive
faulty. didn't match photo. no holes in joint.,Negative
good item,Positive
Don't think this will last even 2 months.\nWaste of money.,Negative
"First  of all the dryer looked like its already  used scratches , spots \nAnd it’s  more worse while  using, in the very first  attempt  i got a burnt smell from inside  and dryer didn’t work after that😒 \nWhat should i do now with that  dryer?",Negative
cheaper than local market,Positive
All the products were in good condition..the packaging was safe enough for the glass item..over i liked the products as well..thank you daraz for your safe n reliable delivery..,Positive
Fully satisfied [ It was delivered within 3 days and the product is as same as in the picture ] \ndon't know about others but you can fully trust [ Ramro Cha ] store ... Thanku Ramroc cha store ..👌👌,Positive
black ma order gareko brown Mae Ayo 🗿 but it's fine 👍 satisfied with the product Tara price chae aati high ... 11 11 ma hamlie hoena daraz lae faeda ho 😂 price badayera discount garxan,Neutral
comfortable,Positive
actually my size is 37 bt ordered 39 bt still it's tight on ankel n can't wear socks wy it's difference,Negative
47240844092\nscratch or screen damage\nhow to exchange,Negative
great for fridge,Positive
best best best...,Positive
Firstly you guys sent me a wrong product and also ask for rating. Please learn to send right products to your customers before asking for the ratings.,Negative
good for given price,Positive
gum ramro zaina baki ta jsto hunu parne tyestai xa,Negative
2ta 2thari xa ta,Negative
I was looking for it from long time I loved it 😌,Positive
Fully satisfied with the product. Delivery was very fast,Positive
Good Product,Positive
Good Packaging,Positive
finally I got the genuine product. thank you to the supplier. guys please check your supplier before u purchase anything and do not buy anything from narayani cosmetic...else you will be wasting your money.,Positive
damage piece delivered pls check before send,Negative
Good product..,Positive
Good quality. Nice taste!,Positive
I love this product it's my third purchase and I'm loving it specially on discount price ☺️,Positive
good product cheaper then other quality same,Positive
delivery and package seal is too good. hope for good from product as wished.,Positive
😎😎😎,Positive
"I just love this bangles, packing is also in plastic box that's the reason, bangles are safe. Price is also reasonable.",Positive
aalikati picture ra reality ma xhai varry nai xa product ma but price ko anusar quality thikai xa.,Neutral
I got a pairs but aauta tight x aauta loose ! but Kam chalau garnu parla,Neutral
Best quality of Shilajit. Recommended to others.,Positive
Harek manchele padhnai parne book !,Positive
Awesome awesome,Positive
Good product for baby's nail trimming.,Positive
Great product i love it.,Positive
at first I didn't know how to fit it and thought it was too small for my toilet seat . but after watching the video on ur page. I was able to fit it perfectly. it's affordable and very nice . love it 💕,Positive
"I ordered pack of 42, large size diapers and got delivered XXL. please stop dumping your stock on customers",Negative
All of the Baker's Secret products from this vendor are topnotch. I would buy this again.,Positive
cute ATM card,Positive
good one,Positive
dami lago😍❤️\nvalue for money,Positive
didn't get this one with my fabric shaver,Negative
awesome,Positive
colour fara aayaxa tara product chai ramro xa,Positive
3 din ma esko euta moter chaldaina yo product n leu there bad xa,Negative
